CODE_SEC;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
9111;32,97130015;35,44989151;34,38724042;32,39727455;34,07127613;36,06493494;35,70345808;29,68913857;25,31691121;25,99701977;24,74810688;25,00292954;24,01177597;25,01795373;23,7734507;23,7378984;23,29135096;23,29135096;23,93201292;24,48568118;25,64726975;27,51103587;29,98634332;34,96924635
9112;30,64685202;31,13621481;29,91766668;31,25875182;33,18573631;31,02850827;31,66245182;28,0726153;30,71542048;29,14368384;30,61562338;28,86982513;28,36192258;28,00902153;29,55127573;29,5076895;29,33315388;29,21420865;29,98983294;29,98983294;30,15895599;31,3913396;31,07701521;30,03982675
9113;23,93522399;23,22395807;23,59168128;25,90042292;24,75857266;23,28167525;23,48406245;26,85803507;26,92547718;29,57573991;28,90235067;29,6073274;27,86144766;26,93927638;26,71788486;26,44051072;26,38802504;26,33886207;26,75949099;26,71668085;26,91710838;26,15676943;26,22682227;26,67598698
9114;25,04300571;24,88045271;26,06269409;25,87822902;25,40250625;24,08563018;24,23768139;24,00238714;30,46434382;26,45085931;26,58848883;24,21231862;22,10632763;21,97729888;21,99287845;21,69478163;21,63667956;21,63667956;22,23964435;22,23964435;22,23964435;22,49398741;21,34494412;21,46017394
9201;23,51329701;25,15458024;24,21787798;22,95601892;24,1594568;20,90815652;22,72466896;20,98233729;19,14679493;19,80321131;19,16502268;18,00375983;17,10007708;17,3914022;17,30923336;17,20996075;17,13906212;17,16218535;17,29800635;17,39886212;17,79551631;19,02220651;21,8285204;25,24242752
9202;29,25954438;25,69160973;26,00519293;27,50198609;25,80722008;23,97285918;25,69465662;27,96445477;29,15037822;29,44364238;29,47066923;28,93982995;28,15211431;27,89860971;28,94554167;28,73838542;28,58127227;28,58127227;28,26156202;28,14549429;29,14317639;28,24436208;29,79724543;31,17584033
9203;19,92531589;20,68166449;20,34937598;20,8393976;21,84681188;21,23856423;20,0307127;17,45670258;16,38942232;17,36964609;18,87664193;18,62595216;17,36612692;17,11945488;16,14919756;16,10433731;16,10433731;16,03994127;16,32051816;16,31786926;16,68340596;18,33691973;19,18060045;20,83229405
9204;24,12906224;24,52487451;23,24345779;22,94022458;23,82448413;24,07827801;24,54373957;26,9427795;27,70135133;30,1515311;32,89551668;32,66452654;32,19350926;31,78969996;31,45245769;31,01259892;31,14508075;31,07668636;30,6239465;30,75542561;30,73043634;31,78643185;33,09332851;27,42434403
9205;20,64146004;20,57668121;20,89739601;20,6013029;20,21922334;20,17616101;19,38785381;19,49625538;17,17605162;20,21259226;23,08301037;22,02704401;21,98794318;23,39657787;23,31990049;23,69705154;23,1765921;22,97280573;23,56122688;23,56122688;23,81285775;24,40691421;26,43949308;23,49260977
9206;24,62079661;25,82191548;25,87946582;25,35722057;22,33385715;23,42433742;23,71261615;24,46510944;24,23319701;24,61936172;24,16672396;23,95609353;26,54248753;25,10782234;24,88456239;24,91424969;24,99060566;25,22695219;25,48860471;25,3881818;25,38908944;24,78792623;25,62264203;26,90148861
9207;16,81591523;18,00456142;17,10121154;18,29079421;20,27574733;21,14432192;21,6874147;19,42262354;18,02908318;15,10241989;14,52942253;12,82949644;11,92847764;10,74878699;10,75028637;10,67362873;10,93457582;10,9883715;10,33649511;10,33649511;9,844570688;10,10346838;11,0811632;14,48501044
9208;18,71392734;17,80187146;19,02400539;19,48584147;20,93984988;21,09730606;20,6669765;23,26450627;24,60727172;24,75023134;23,94320365;22,0201944;22,27854382;21,74554431;21,30055324;21,55790545;21,3998136;21,5460099;21,83938774;21,83938774;21,35287405;21,75407211;20,30563911;21,54342164
9209;19,32130669;19,17967383;19,82233956;18,8195062;19,05252051;18,92381533;19,37584354;17,68826787;19,03041772;20,77570538;21,02468635;19,91517039;19,6951334;18,78752308;18,70760548;18,65134655;18,30891348;18,3542307;18,63038686;19,19559996;19,23016454;18,20299808;17,92241424;19,10965624
9210;24,01399121;23,94320139;22,87785506;21,88913489;21,9223781;24,01299601;25,26124433;25,06881397;21,62554805;20,54261322;18,25216114;16,97653109;17,87633746;17,70690229;17,2022507;16,92239098;17,27780204;17,65542081;18,03386952;18,01270529;18,03510776;17,81285702;21,09678813;24,98562126
9211;25,0420252;24,09648451;24,77246733;23,97945805;26,25903112;23,7083244;21,82856076;19,8096991;20,98340623;21,38661258;22,00433166;21,37598362;20,8068548;21,52376058;21,76038252;25,05286535;25,23314976;25,23314976;24,00065822;24,00065822;24,40755528;23,87234686;25,05099197;24,79881955
9212;24,97638761;26,2985102;25,07600339;24,95270494;21,72412226;22,21940264;22,63417828;22,76389501;26,01613859;27,57244562;28,05961594;27,98743453;27,50443558;27,63941093;27,14043006;27,42588515;27,42588515;27,19474294;27,2434592;27,2434592;27,38826648;26,46176496;27,09221705;24,56450519
9302;41,33735182;36,47549996;40,37088728;41,94564634;45,1127977;45,79453112;48,84463879;35,35037296;41,46015662;38,41772758;40,81895906;41,44991395;42,61284378;42,93177996;41,75360399;41,24576485;41,24576485;41,00298528;40,09176184;40,18284898;41,40431806;38,74218738;38,94229856;39,85888406
