"idsec";"ZONAGE_SEC"
"NICE_066";2
"NICE_067";2
"NICE_068";2
"MONTPELLIER_031";1
"ANGERS_001";3
"ANGERS_002";3
"ANGERS_003";3
"ANGERS_004";3
"ANGERS_005";3
"ANGERS_006";3
"ANGERS_007";3
"ANGERS_008";3
"ANGERS_009";3
"ANGERS_010";3
"ANGERS_011";3
"NANTES_025";2
"NANTES_026";2
"NANTES_027";2
"BORDEAUX_055";2
"BORDEAUX_024";2
"BORDEAUX_040";2
"GRENOBLE_501";2
"GRENOBLE_502";2
"GRENOBLE_503";2
"MARSEILLE_058";2
"NANTES_038";2
"LYON_119";3
"LYON_120";3
"LYON_121";3
"LYON_133";3
"LYON_134";3
"LYON_135";3
"LYON_230";2
"LYON_232";2
"VALENCIENNES_007";2
"MARSEILLE_029";3
"MARSEILLE_030";3
"MARSEILLE_043";3
"MARSEILLE_020";3
"MARSEILLE_036";3
"MARSEILLE_027";3
"MARSEILLE_016";3
"MARSEILLE_026";3
"NICE_046";2
"NICE_048";2
"NICE_049";2
"MARSEILLE_012";3
"MARSEILLE_119";2
"LYON_118";3
"LYON_129";3
"LYON_130";3
"LYON_131";3
"LYON_132";3
"LYON_104";3
"LYON_105";3
"GRENOBLE_115";2
"LYON_136";2
"LYON_138";2
"LYON_139";2
"LYON_140";2
"LYON_141";2
"LYON_142";2
"LYON_143";2
"LYON_144";2
"LYON_145";2
"LYON_146";2
"NANTES_021";2
"NANTES_001";3
"NANTES_002";3
"NANTES_003";3
"NANTES_004";3
"NANTES_005";3
"NANTES_006";3
