CODE_SECT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7804;31440.0926284209;31153.1680633756;29422.3862178362;27243.6753994968;28269.3788509986;24917.1955002514;25793.3669337848;31568.6674939834;33979.5206617823;40623.5184699636;43177.3936244101;47310.4089349004;47378.0455216475;46751.0143634198;47385.0208597566;47811.685920997;47811.685920997;47811.685920997;46576.8838994049;46334.8921421385;46468.6385832526;43602.7573091292;38644.0302492003;34547.1745146716
7805;70957.4800590633;66649.4638114139;66926.9273996324;69362.5596935377;66242.3229987281;66752.7300644953;62571.7000020795;65574.0988502717;68941.0199029097;72113.0381006202;78335.4629737577;78118.5152929281;76486.5481386531;80649.7959793696;80335.2694460436;80335.2694460436;80611.2470034013;80611.2470034013;80816.0302272016;80816.0302272016;79770.0352179431;77684.1408929377;71039.9391087052;69012.2851928015
7806;71497.6214225564;71278.9357647615;69029.418531232;66171.413479066;68132.6421000709;64062.349528378;61350.2255153921;65487.1535035743;69169.405661915;73819.9723889511;75266.8057146294;77177.1956933596;79104.4026804829;80380.9046982688;80741.8089665297;81901.0666115653;82238.4477612963;82452.3119394298;81250.8018622847;81995.4481340257;81022.5729394127;77117.8880080448;71574.596486586;68747.3510042977
7807;41991.9933143538;42520.6488895332;41616.8016060221;38600.6436753335;39087.6769307132;40929.8544791727;43296.9645822654;39771.4787451354;42913.5599678695;46608.9608678025;45632.1992752554;47473.3045307364;48004.621106292;47587.3043409245;47589.4708994982;47638.6542730103;47638.6542730103;47443.078999251;47890.8496375389;47031.1000938091;45385.927111403;41037.6448081128;39721.0971678181;39443.1359590351
7808;38037.7381080771;37134.391349361;37533.6329142395;39178.3256811804;36812.3937750261;36472.5181325894;35948.2797839571;39370.7329803453;41429.2198845949;47029.9716412693;52624.9238269434;52991.4305245322;53445.3433895759;55038.2248436052;55678.8139947568;56075.7525714653;56304.9386204459;56518.2095542198;56400.6480074484;55845.9203532506;54034.1475825085;49125.6242305278;43987.7141177713;42120.3416118722
7809;47686.8297287508;48826.4827700809;47169.6216716015;45768.4360792351;47498.3141313024;48892.0238867661;51380.3209012165;49191.6083733876;51374.9496211872;52791.6019963222;59046.9413675075;61242.0982350167;61909.4768304757;60943.738420499;60882.4241736249;62885.8846224839;62413.8092948669;63127.8606670111;62343.0812731355;62611.1263326751;60874.1977934727;56384.784965505;52458.1846601522;49627.8838685692
7810;16453.5576199255;15705.1146054606;15727.6098184402;15375.230165557;14939.3191528875;14497.0103756321;15071.2989189643;17108.1573937325;18012.9913245266;20857.1290140702;22332.160908527;23055.0657881433;23453.3113892583;23640.8332429639;24599.3583445949;24599.3583445949;24599.3583445949;24599.3583445949;23658.9471457338;23658.9471457338;23361.8757178145;21115.2088333899;17809.741446979;16519.0881857564
7811;53096.2556006388;51963.8144276421;49014.165989536;51690.7139184508;48224.1486299198;48192.6695044998;51205.6812009057;56692.2690434228;61732.7425700902;70088.2097393764;72922.8062238138;78653.4110942761;78570.5363795757;79323.091046611;81373.7706953952;79081.0717247933;79558.8366947834;79861.5299192294;76456.823584791;76456.823584791;76725.3511199472;74620.0160716057;62860.6465369122;53333.7374627426
7812;152164.085460216;156502.503944592;160021.995133422;155096.559065447;160274.269543702;162528.283151015;150999.772309153;138561.953955647;126951.833568646;114292.804517707;126514.719728268;128128.185625175;126987.836507151;125609.115721175;124004.764573137;124399.411557984;124494.096984688;123477.352388098;123606.89218503;123751.980491636;123465.771335131;119291.500231125;127841.075139393;136406.253707605
7813;26937.8890203238;28360.8566906115;28873.8786558958;29111.0622469637;28613.6996718685;27546.3059421476;25776.7521574173;26179.0641889252;30375.6107364056;33660.3302677785;38128.5343878839;38210.1980341281;38006.8108106911;37014.3321923662;36808.1011039704;37579.9130107253;37579.9130107253;37579.9130107253;36973.2451147753;36973.2451147753;37142.7319787456;35612.8102521572;30499.1371715664;28280.6137441034
