CODE_SECT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
9109;12719.480728527;12159.3627736068;12267.0567321529;10598.1620154821;12229.6306395137;12393.6540915977;11351.2395780478;12143.5626043116;11311.4624126937;12677.4329540937;14446.75656539;15130.6598416124;15435.3076600711;14851.0748303179;14150.2557611253;14372.7508280656;14372.7508280656;14372.7508280656;13542.9931351621;14093.9873688576;13727.226632101;13201.7336346121;12748.4495535424;10736.3649857335
9110;7592.15213802498;7294.01795809822;7664.83088101564;8421.75197264876;7628.37580181785;8772.0926867892;9743.47232506586;8658.63522413248;8102.69034232236;8483.53861348161;9721.6669537899;9279.68057918418;9712.93348353441;10042.9384629414;10552.2697855012;10552.2697855012;10552.2697855012;10552.2697855012;10305.1988715511;10305.1988715511;9795.86754899131;8352.21258420986;5734.51443561565;7064.42513844894
9111;13169.9826909348;12890.042800596;12521.730683536;13717.0703706971;12737.3582748027;10912.0176048855;12467.7636739193;12507.0488472731;11216.0098811521;9113.4948155078;10973.4605157781;11320.3183217788;11595.0206283894;11623.3414124097;11855.455977102;11855.455977102;11855.455977102;11855.455977102;11855.455977102;11855.455977102;12126.5953874973;12530.9639349243;10621.6133135373;13332.7640616003
9112;9203.44813853054;8809.08089417132;9529.98063591074;9312.50402872409;9572.87305539205;10749.5473105999;10966.5824228699;9421.82305410976;9847.79002331437;11634.3746245235;11424.7000960772;11377.2328104803;13192.6800343749;13381.9181326227;13974.5208571748;14126.8210769747;14126.8210769747;14320.0100160195;14003.6465726636;14003.6465726636;13799.9421550408;12681.8352823739;10614.9415843509;10502.0755214475
9113;24843.5442887331;22127.5824208229;22927.5071264848;21988.9943916749;22846.091380584;22054.8565293869;21408.3480235267;23375.4248289049;21307.6895885502;23195.890236344;23123.2331690817;23849.7174680596;23842.1881148802;25069.9666981457;24233.2420317462;24797.6400104989;24797.6400104989;24797.6400104989;25303.0892263635;25303.0892263635;25303.0892263635;24764.6221857184;23269.1040548169;23514.2545822075
9114;8806.22753501936;8900.74240884438;9113.74530587965;8647.38089339129;8489.05364965605;9048.46951609035;8983.42302555138;7943.18074647789;7347.73084058159;9439.04642969474;10930.7444109808;11577.5280937706;11517.7712722852;11939.2869020345;11614.0800045171;11992.7414560807;12105.8337821696;12105.8337821696;11707.7150041595;11707.7150041595;11707.7150041595;10933.8512038173;10062.5716546883;9923.68013160979
9201;23050.5304263956;21904.1650044989;22640.5416245774;22053.6358502738;22462.2508353341;22220.7923641604;23499.5197493083;22688.4456276016;22929.6196092412;22471.8266987552;23344.8735260832;25427.0720346153;26185.4612130725;25972.2460775323;25982.0216162054;26959.5162735004;27357.0609526119;27357.0609526119;26494.8804248312;26494.8804248312;26761.7620298176;26488.7214868926;24739.3586262396;23441.3253346205
9202;13329.1990796083;15736.0748274745;14981.5610519819;14831.7991404787;15431.2369373612;16037.2532582365;14741.8895758103;11694.2603860326;14441.2276609299;16409.899481702;18552.7055302334;19506.4038019006;19506.4038019006;19903.3838945626;19628.6026597041;19873.1244154815;19873.1244154815;19873.1244154815;18847.6613671772;19178.2619864339;18847.6613671772;19995.2968057338;17051.4075909866;11930.5689445175
9203;42842.6539674856;41014.6402414869;43670.0192785366;44304.8612925389;43893.1385769307;43714.8341312393;45348.7415735685;43319.5459535375;40360.1096876021;30459.0655327457;29268.2353339148;32162.6832530331;34245.6226994658;34665.368383092;35305.5201349678;35852.872894959;35852.872894959;36397.9829095368;36077.2536479043;35786.234844996;35786.234844996;36796.8475254619;36471.4117273365;38057.6153818763
9204;35191.587464356;35236.3336083797;33891.7528010308;34347.483063292;32810.6937886091;32980.8779653601;32837.8831194944;30839.7537894455;25041.4687628834;16435.7656350906;16011.0917882246;17066.7988548479;16734.898844129;16787.8021859465;16787.8021859465;16686.6358398664;16686.6358398664;16876.9283462187;16101.738241055;16101.738241055;17219.7110969881;18265.0771701576;18834.8191923919;27814.9848132465
