"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"029","7am",415.9777,1713.8259,2220.2257,1920.4553,718.05439
"030","7am",447.14644,675.0662,1628.703,1360.3665,790.04257
"031","7am",580.3019,1021.6417,2586.8034,1788.8758,916.8676
"032","7am",780.55268,1342.1775,3001.6084,2074.5744,971.07848
"033","7am",1071.05727,2042.265,3689.3891,2045.5243,1388.72549
"034","7am",228.73019,530.8052,1328.0058,223.0205,359.81487
"035","7am",866.78514,1713.3828,2790.26,1507.8663,1190.21473
"036","7am",734.28262,1135.5743,2173.7054,1246.9966,728.9631
"037","7am",487.06891,1892.1352,2752.4099,1718.8974,1175.95675
"038","7am",508.95093,325.1923,1869.8533,1353.4882,315.89641
"039","7am",341.30584,416.8631,1673.1765,962.895,819.78032
"040","7am",1103.06522,1601.4639,2712.7406,2851.7142,1250.26442
"041","7am",765.75149,1005.6941,1303.762,1159.9984,970.2313
"042","7am",232.91235,250.2518,1416.0834,590.3517,522.86026
"043","7am",338.36105,543.2038,2609.3362,2219.2137,810.41054
"044","7am",285.00093,626.1738,1385.4718,1445.1791,355.0175
"045","7am",423.44743,1026.8918,2242.601,1187.6452,401.7688
"046","7am",246.59648,639.1169,1941.0585,1263.9731,683.75375
"047","7am",268.34482,935.8786,2040.303,2453.6695,403.21659
"048","7am",798.26428,1069.988,1644.7464,1183.0452,384.21351
"049","7am",314.37719,654.6871,1616.9186,1528.4774,258.57991
"050","7am",178.26722,602.1695,915.745,679.76,221.71893
"051","7am",233.95037,392.8032,1007.2471,530.989,550.39615
"052","7am",377.82306,630.2934,1101.7936,1633.5951,608.29496
"053","7am",869.96633,827.3111,2090.7336,1174.568,421.30256
"054","7am",528.84966,1709.5328,2169.2901,1143.4196,362.30297
"055","7am",270.50961,625.8197,2175.1257,610.626,613.93069
"056","7am",320.45236,900.5582,2810.4785,1928.0905,705.4967
"057","7am",396.17662,187.8813,875.166,1148.1225,464.46834
"058","7am",975.21032,1784.7908,1696.237,1507.2718,593.24886
"059","7am",1259.40274,2603.9323,4087.5722,2085.2443,557.12006
"060","7am",856.90205,1619.3659,3241.9331,1139.8954,686.29801
"061","7am",598.95371,2275.3214,3241.5813,1300.5804,647.8229
"062","7am",609.72611,786.5321,2472.1755,2289.3538,1139.20674
"063","7am",61.69821,519.5112,1234.2429,739.1728,472.9988
"064","7am",554.90398,1076.1504,2141.1575,2106.0536,287.14201
"065","7am",287.17456,1942.2902,2164.1971,2024.6976,450.67705
"066","7am",554.72913,1259.1433,1738.5864,1523.4499,620.85219
"067","7am",451.48996,3756.6627,1917.1754,2469.2289,529.63932
"068","7am",927.19401,1591.7649,3043.8328,1688.2913,86.93186
"069","7am",347.26283,855.8778,1356.2059,1086.155,330.12581
"070","7am",906.88421,2939.4009,3047.7123,3010.8966,557.87461
"071","7am",1753.13109,2766.2925,3484.583,1093.5342,261.91392
"072","7am",1063.27188,1320.1681,2203.1567,1128.7641,617.74436
"073","7am",2368.29574,2307.9265,4054.5196,2989.2508,683.40618
"074","7am",1959.83645,2239.5226,2861.6306,1878.8494,1156.69055
"075","7am",2435.22786,4265.0141,3444.7793,1809.2247,876.27167
"076","7am",1081.72248,1481.6895,1664.046,1365.1618,231.7387
"077","7am",465.03746,1273.2148,2532.9815,1942.5026,1286.50054
"078","7am",686.9187,606.6169,4862.9743,1693.8319,1081.37666
"079","7am",103.53861,1626.0825,5549.106,2071.3908,1056.36788
"080","7am",96.55482,783.6514,2993.3315,1383.4811,1226.85889
"001","8am",502.08749,830.9508,1051.3087,1555.6662,1606.16581
"002","8am",421.96874,462.6255,959.2408,1244.0114,678.94918
"003","8am",922.77272,1914.5185,4070.7317,3661.3176,2101.71276
"004","8am",927.70288,486.1421,1197.7342,1250.8464,590.80239
"005","8am",221.62065,416.5827,1112.1784,1661.5679,1427.36044
"006","8am",609.29622,966.5273,1975.0131,2769.6432,1064.22804
"007","8am",607.19363,396.1822,1420.1948,1481.6122,916.05247
"008","8am",371.78678,233.0359,910.211,792.3288,143.67634
"009","8am",570.12996,1745.5825,4282.1037,4564.2215,2553.71659
"010","8am",291.78275,1487.2664,1615.9639,904.7965,881.84497
"011","8am",947.64752,2016.7213,2685.3036,2139.5117,662.99551
"012","8am",814.89611,1051.7774,2106.6184,1819.343,601.7387
"013","8am",645.69415,1401.5943,3039.6683,1965.5404,539.27585
"014","8am",786.69562,1765.507,2993.0751,2058.6522,407.90344
"015","8am",421.7558,292.9507,1224.9705,929.6553,420.46814
"016","8am",224.2091,657.5633,1444.4033,800.8998,649.27423
"017","8am",713.551,1037.8291,1772.1457,2629.0102,1327.89604
"018","8am",1700.54066,2893.423,2310.9604,1760.8592,787.7326
"019","8am",1366.09312,1786.691,2704.3096,2783.7981,1044.52788
"020","8am",2203.27838,1318.8315,1349.2323,528.1531,171.18738
"021","8am",269.46103,655.4056,833.9957,779.7096,318.99103
"022","8am",935.63134,1112.0995,2582.1333,2797.7313,2043.649
"023","8am",653.56767,1118.8421,2814.9044,2690.502,931.6488
"024","8am",999.00994,1495.7549,1901.0754,1194.0325,117.44916
"025","8am",943.97689,695.1835,2745.6651,2578.0627,1742.22214
"026","8am",170.91835,736.6373,1314.3655,1492.1382,1086.40138
"027","8am",1050.27918,1675.0902,3366.5537,3179.983,2138.13205
"028","8am",408.99227,823.717,4978.8811,2168.9082,1260.84901
"029","8am",456.85155,1710.7661,2255.4554,2372.211,765.84638
"030","8am",357.5742,605.0595,1938.661,1409.9281,727.79289
"031","8am",537.92779,1146.7404,2155.8764,1391.0655,868.08151
"032","8am",801.16903,1675.9672,3117.1378,2507.7624,1293.01662
"033","8am",858.029,2066.2829,4079.4957,1719.3032,912.34828
"034","8am",187.33294,479.3569,1502.4614,678.9371,467.9344
"035","8am",860.36546,1352.5102,2806.2816,2170.0911,801.69879
"036","8am",734.28262,971.565,1568.7368,1169.0761,603.70629
"037","8am",389.19039,1857.6786,2204.1092,1582.277,1127.85187
"038","8am",508.95093,306.6573,1365.0163,1334.7733,477.76751
"039","8am",341.30584,337.2514,1433.3325,797.1961,608.69632
"040","8am",1166.90402,2023.3317,2923.4466,3415.5724,1568.7121
"041","8am",637.14453,794.2295,1273.6452,1326.8184,705.7779
"042","8am",187.87178,314.9996,1341.0428,544.5654,271.16025
"043","8am",268.26059,484.6892,2544.9168,2408.4322,1065.31177
"044","8am",266.16099,656.469,1593.0346,1379.3874,686.4934
"045","8am",331.63423,932.2654,1850.2453,718.3532,353.70868
"046","8am",246.59648,751.4261,1539.6008,875.1826,638.56247
"047","8am",268.34482,943.5248,2266.1328,2086.5221,429.44575
"048","8am",691.40261,1037.2112,1413.5382,987.3209,273.43638
"049","8am",314.37719,721.2763,1449.9532,978.8319,228.91422
"050","8am",117.4787,485.2575,734.5277,547.6732,135.63353
"051","8am",192.20403,345.7011,857.6964,422.1812,399.07755
"052","8am",377.82306,645.4244,1265.4275,1143.8237,440.01393
"053","8am",829.42118,855.3858,1797.8114,748.2414,332.81465
"054","8am",567.5295,1345.1239,2043.6884,1020.4214,250.82703
"055","8am",270.50961,546.1625,2045.9912,439.5278,527.91688
"056","8am",320.45236,1013.9236,2600.9498,2011.5161,660.53726
"057","8am",365.79808,229.6399,833.1146,953.7382,456.22989
"058","8am",779.03163,1601.7529,1475.3303,930.5965,521.92366
"059","8am",1329.82857,2680.5286,3894.4986,1978.3478,356.39406
"060","8am",832.35491,1537.0894,3154.8207,1221.9852,783.21733
"061","8am",598.95371,1904.1244,2817.186,1279.647,285.68091
"062","8am",565.55754,988.4696,2021.6652,1650.4908,632.69417
"063","8am",61.69821,388.7047,1028.0803,666.6099,228.5896
"064","8am",554.90398,736.801,1630.2492,1779.9361,233.80886
"065","8am",367.68672,1787.7705,2057.2247,1634.5298,426.58478
"066","8am",508.35084,1246.0187,1609.6355,1527.6372,521.87148
"067","8am",451.48996,3054.0966,1678.0493,1942.2834,307.56972
"068","8am",881.27289,1699.6663,2765.6439,1406.5376,86.93186
"069","8am",347.26283,923.1781,1452.128,906.0086,258.18457
"070","8am",906.88421,2889.2752,2870.8473,2479.0172,562.85986
"071","8am",1562.14243,2531.4863,3376.2871,1602.059,165.39876
"072","8am",1123.38602,1516.2097,2043.9209,1183.3955,594.43944
"073","8am",1985.35517,2588.3789,3900.384,3002.867,806.89991
"074","8am",2017.87462,1911.9555,3067.2702,1877.1044,1239.44768
"075","8am",2804.57033,4567.4397,3430.0545,2080.7584,760.80544
"076","8am",1081.72248,1386.3496,1472.4912,1245.9894,231.7387
"077","8am",465.03746,1123.0194,2115.3578,1742.8019,955.62521
"078","8am",587.59697,877.7369,5361.1032,1946.7516,1127.21057
"079","8am",103.53861,1613.5895,5489.3213,1976.5619,1102.87009
"080","8am",96.55482,644.9471,2685.3144,1169.6572,990.83269
"001","9am",830.0213,803.5054,1595.9684,2061.083,1960.27696
"002","9am",450.80843,830.2873,1361.9331,1751.3558,1001.60926
"003","9am",1060.06296,1825.5203,4679.5419,3440.5138,1843.9548
"004","9am",809.06342,449.2907,1170.1729,1154.426,410.84273
"005","9am",221.62065,589.6818,963.8614,1655.5208,1272.30891
"006","9am",747.2162,1073.8846,1793.275,2604.3016,1380.37863
"007","9am",484.31428,407.7905,1466.8281,1385.585,828.50621
"008","9am",363.78488,221.1753,788.5687,797.3107,143.67634
"009","9am",485.94505,1777.6065,4909.365,4732.6776,2591.11825
"010","9am",291.78275,1682.1612,1783.0518,723.5916,869.83092
"011","9am",900.75464,1786.3113,3222.2918,2148.7885,794.2877
"012","9am",876.37761,1007.5869,1916.458,1719.8994,547.10537
