"district","hour","sex1","sex2"
"045","12am",1885.9225,1977.67
"046","12am",1821.7548,2333.827
"047","12am",3054.5118,3048.505
"048","12am",1731.2564,2412.409
"049","12am",1660.1901,2166.757
"050","12am",1051.385,1041.11
"051","12am",1061.3014,1155.43
"052","12am",1717.4725,2009.192
"053","12am",2249.7656,2529.541
"054","12am",3235.6201,2193.215
"055","12am",1659.0927,1891.702
"056","12am",2920.0838,3705.457
"057","12am",1495.6803,1615.443
"058","12am",2402.1906,2718.549
"059","12am",3782.4982,5349.435
"060","12am",3194.3255,4318.574
"061","12am",3569.726,4100.796
"062","12am",3168.8684,3023.284
"063","12am",1131.0879,1226.346
"064","12am",2059.4465,2830.347
"065","12am",3085.516,2864.53
"066","12am",2650.9214,2814.175
"067","12am",4165.9631,3848.057
"068","12am",3266.6551,3871.08
"069","12am",1636.3487,1643.049
"070","12am",5490.6046,5153.119
"071","12am",3616.9174,5462.682
"072","12am",3283.4753,3647.182
"073","12am",5594.6244,6724.281
"074","12am",4667.4218,6455.7
"075","12am",5773.9184,5824.046
"076","12am",2878.3717,2551.429
"077","12am",2872.8579,3834.382
"078","12am",3466.2746,6761.106
"079","12am",4974.9319,5517.9
"080","12am",3271.8353,3205.206
"001","1pm",4399.2254,5632.084
"002","1pm",2971.9244,5574.539
"003","1pm",6148.0359,7316.887
"004","1pm",1680.4957,3074.801
"005","1pm",2653.9893,2291.93
"006","1pm",4483.1483,6262.3
"007","1pm",2507.9118,3049.747
"008","1pm",826.9695,1191.356
"009","1pm",6532.7305,9422.213
"010","1pm",2057.4513,2655.469
"011","1pm",3796.5098,4367.463
"012","1pm",3303.3109,3488.808
"013","1pm",4154.351,3281.698
"014","1pm",2931.2575,4195.685
"015","1pm",1156.3557,2190.879
"016","1pm",1827.5966,2358.789
"017","1pm",3433.5985,5131.238
"018","1pm",4209.5604,4793.658
"019","1pm",4342.8053,5292.185
"020","1pm",2719.7434,3565.928
"021","1pm",2065.4055,1618.208
"022","1pm",6737.9801,9441.601
"023","1pm",4969.8317,5558.263
"024","1pm",2444.9308,3607.77
"025","1pm",9600.5742,10023.076
"026","1pm",2895.0665,3363.337
"027","1pm",6810.9491,5821.131
"028","1pm",6183.768,8025.695
"029","1pm",4005.5852,3365.89
"030","1pm",2096.7708,2413.133
"031","1pm",2667.4505,2881.031
"032","1pm",4634.5134,4620.887
"033","1pm",5179.6702,6001.771
"034","1pm",1455.284,1861.318
"035","1pm",3799.8545,4561.336
"036","1pm",2338.0998,2356.585
"037","1pm",3658.7182,3614.244
"038","1pm",1996.5097,1995.535
"039","1pm",1827.2669,1898.915
"040","1pm",5262.2216,5485.702
"041","1pm",2322.2883,2875.063
"042","1pm",1157.7977,1516.19
"043","1pm",4313.895,3538.38
"044","1pm",2407.3605,3044.159
"045","1pm",1953.0921,2070.908
"046","1pm",1808.2988,1935.096
"047","1pm",2996.9111,3196.964
"048","1pm",1519.5715,2123.011
"049","1pm",1805.8352,2063.313
"050","1pm",899.2172,1042.046
"051","1pm",930.6317,1189.209
"052","1pm",1825.9846,1738.889
"053","1pm",1909.933,2179.179
"054","1pm",3249.9364,2203.613
"055","1pm",1633.9986,1998.031
"056","1pm",3076.4584,3590.682
"057","1pm",1334.0092,1372.515
"058","1pm",2180.333,2728.093
"059","1pm",3415.8824,5322.245
"060","1pm",3007.5418,4052.429
"061","1pm",3279.4233,3895.178
"062","1pm",3168.5643,3116.955
"063","1pm",1032.204,1116.243
"064","1pm",1981.583,2673.86
"065","1pm",3043.2324,2926.187
"066","1pm",2658.8904,2656.799
"067","1pm",3912.946,3418.536
"068","1pm",2823.6141,3671.69
"069","1pm",1591.0637,1674.609
"070","1pm",4992.0226,5262.028
"071","1pm",3618.7199,5557.742
"072","1pm",3015.4959,3369.532
"073","1pm",5170.3468,6871.336
"074","1pm",4494.589,6009.225
"075","1pm",7350.351,6326.043
"076","1pm",2963.6519,2604.711
"077","1pm",2805.0577,3879.781
"078","1pm",3582.2202,7078.211
"079","1pm",5038.4009,5509.961
"080","1pm",3191.894,3307.498
"001","2pm",4191.4134,5580.388
"002","2pm",3250.8806,5333.582
"003","2pm",5336.3723,7137.398
"004","2pm",1551.0294,2543.363
"005","2pm",2558.3759,2788.96
"006","2pm",3940.4815,5848.539
"007","2pm",2317.3642,3074.891
"008","2pm",872.8093,1083.385
"009","2pm",7123.1801,9876.406
"010","2pm",2047.2247,2215.008
"011","2pm",4096.7662,4141.159
"012","2pm",2950.8704,3249.768
"013","2pm",4135.8031,3380.974
"014","2pm",3148.2739,4580.333
"015","2pm",1122.7547,2457.767
"016","2pm",1675.8728,1980.08
"017","2pm",3790.2409,5131.973
"018","2pm",4028.8045,4447.021
"019","2pm",4310.7803,5160.537
"020","2pm",2560.0606,3633.626
"021","2pm",1577.8284,1461.336
