"district","hour","mode1","mode2","mode3"
"051","10am",1.4960674,77.81919,20.684745
"052","10am",0,80.8512,19.148803
"053","10am",0,70.34535,29.65465
"054","10am",2.7011291,81.23657,16.062305
"055","10am",0,70.85201,29.147995
"056","10am",2.9727717,55.7261,41.301127
"057","10am",0,82.77065,17.229345
"058","10am",2.0138378,78.37638,19.609779
"059","10am",1.9930986,64.76838,33.238521
"060","10am",13.0003015,66.84884,20.150856
"061","10am",0,74.34013,25.659865
"062","10am",1.7603297,74.68323,23.556441
"063","10am",2.170502,79.95581,17.87369
"064","10am",2.4423505,59.77502,37.782633
"065","10am",7.1528659,60.12695,32.720183
"066","10am",0,64.85418,35.145824
"067","10am",0.7184887,65.67905,33.602458
"068","10am",0,69.98244,30.017565
"069","10am",0,77.34057,22.659426
"070","10am",1.2164872,72.07148,26.712032
"071","10am",2.711281,66.96136,30.32736
"072","10am",0.488561,78.34698,21.164458
"073","10am",2.443464,45.64961,51.906927
"074","10am",7.8507859,68.97175,23.177469
"075","10am",13.6284554,75.74742,10.624121
"076","10am",5.214547,63.08518,31.700269
"077","10am",0,55.5609,44.439097
"078","10am",3.3899129,75.09066,21.519425
"079","10am",7.3289961,60.07863,32.592377
"080","10am",1.3772203,65.11281,33.509968
"001","11am",26.2383588,16.31984,57.441803
"002","11am",32.1643647,20.31675,47.518886
"003","11am",27.3012645,23.98453,48.714202
"004","11am",12.3171149,39.17101,48.511879
"005","11am",13.3807736,35.05489,51.564335
"006","11am",26.2706738,35.04759,38.681733
"007","11am",24.3014072,29.01599,46.6826
"008","11am",10.4241828,60.08538,29.490433
"009","11am",30.7166794,39.41868,29.864643
"010","11am",19.1768847,50.73596,30.087155
"011","11am",11.3466426,69.258,19.395358
"012","11am",19.1861654,46.03916,34.77467
"013","11am",8.7303001,67.88455,23.38515
"014","11am",6.9991185,62.83892,30.161964
"015","11am",20.0703167,54.96804,24.961647
"016","11am",18.3837603,63.77796,17.838283
"017","11am",25.3645358,48.23651,26.398954
"018","11am",13.7788908,48.48163,37.739476
"019","11am",18.9477643,58.89343,22.158805
"020","11am",19.5126356,32.30847,48.178898
"021","11am",15.5752747,57.34237,27.082359
"022","11am",21.7099595,55.01094,23.279097
"023","11am",17.9358642,69.3288,12.735341
"024","11am",18.3632594,52.73173,28.905014
"025","11am",33.4171778,35.77732,30.805504
"026","11am",18.0081179,49.27413,32.717752
"027","11am",6.8443753,83.87313,9.282495
"028","11am",27.8117454,53.43769,18.750562
"029","11am",10.9305346,72.30644,16.763023
"030","11am",16.525827,67.58592,15.888256
"031","11am",1.0743438,63.23197,35.693682
"032","11am",3.205354,84.28338,12.511268
"033","11am",12.8733033,73.30702,13.819673
"034","11am",0,88.93945,11.060551
"035","11am",7.7943532,78.42803,13.777612
"036","11am",3.0563825,84.53028,12.41334
"037","11am",0,83.15857,16.841427
"038","11am",3.9514075,83.1828,12.865788
