"district","hour","educmen1","educmen2","educmen3","educmen4"
"043","7am",943.7055,2300.0669,2153.7274,1123.02553
"044","7am",601.01105,1871.9799,1128.5634,495.28888
"045","7am",167.19642,3278.4646,1115.7837,720.90955
"046","7am",239.32368,2532.2804,1370.0675,632.82708
"047","7am",407.52487,2567.5623,2530.9188,595.40663
"048","7am",729.02247,1932.4623,1550.5801,868.19261
"049","7am",248.79481,2317.957,969.0469,837.24148
"050","7am",236.00261,1212.3016,858.5554,290.80097
"051","7am",217.54917,1333.8193,658.0649,505.95243
"052","7am",407.95391,1711.4611,989.8282,1242.55698
"053","7am",954.14409,2364.3718,1170.8428,894.52283
"054","7am",646.16345,3085.6892,1696.2511,485.29127
"055","7am",300.50836,1855.8756,1731.4521,408.17562
"056","7am",691.08855,3011.1625,2285.5259,677.29932
"057","7am",86.75466,1056.4859,1087.2453,841.32889
"058","7am",636.67933,4344.4069,1065.6505,510.02201
"059","7am",1553.58604,5977.7367,2282.6698,779.27914
"060","7am",1453.88556,3349.001,2326.9627,414.54509
"061","7am",1104.42286,4032.7033,2069.3059,857.82781
"062","7am",177.48047,3591.2118,1831.4726,1696.82943
"063","7am",85.25128,1236.7544,1102.5605,603.05775
"064","7am",494.98922,2798.0124,1777.5117,1094.89416
"065","7am",920.51116,3273.2975,1843.0557,832.17217
"066","7am",431.86458,2966.2231,1003.6541,1295.01918
"067","7am",1275.93529,4841.3826,2081.7185,925.15994
"068","7am",746.19483,3934.3467,2283.071,374.40228
"069","7am",455.42645,1878.0399,1139.621,502.54002
"070","7am",1176.17963,5276.0963,3306.574,703.91854
"071","7am",1664.12675,6011.7708,1412.6006,270.95663
"072","7am",1013.66042,3410.0027,1438.7148,470.7272
"073","7am",1305.87246,6547.4909,2751.3898,1798.6457
"074","7am",1551.05376,5058.1963,2175.0064,1312.27323
"075","7am",1644.52033,7999.7343,2002.7099,1183.55304
"076","7am",1367.50185,3221.804,997.2955,237.75716
"077","7am",1431.49513,2152.8924,2622.4869,1293.36248
"078","7am",1432.98357,3600.0275,2591.561,1277.80226
"079","7am",1810.67484,4560.9934,2492.06,1365.41592
"080","7am",1655.08461,1700.2579,1748.0513,1316.79254
"001","8am",308.08899,1356.5491,1319.1397,2510.9054
"002","8am",48.96102,898.9619,1640.0304,1198.2243
"003","8am",616.09325,4140.5757,4109.7791,3865.4883
"004","8am",334.78263,1672.0087,1364.5915,1081.8451
"005","8am",205.63243,1272.7898,1496.1794,1951.3955
"006","8am",947.22079,1914.2006,2032.4733,2490.8131
"007","8am",0,1189.7372,1779.2641,1852.2339
"008","8am",350.59423,612.6491,886.2993,601.4961
"009","8am",590.70187,4185.806,4823.6184,4115.628
"010","8am",124.42046,2279.6238,1456.1839,1321.4263
"011","8am",214.38764,4800.2162,2377.3716,1060.2042
"012","8am",645.3856,3227.7419,1546.4348,974.8113
"013","8am",679.99072,3306.3618,2407.0506,1198.3699
"014","8am",744.06268,3806.6454,2044.1613,1416.964
"015","8am",130.99258,1253.7976,1223.1723,681.8379
"016","8am",409.64758,1444.4352,1028.2771,956.6641
"017","8am",381.59181,2616.2587,1979.9518,2502.6298
"018","8am",1938.94321,3917.0094,2486.854,1110.7092
"019","8am",1128.47301,3221.0539,3194.2926,2141.6002
"020","8am",2265.12382,2389.7002,897.498,188.8266
"021","8am",416.99553,1167.9837,896.722,375.8616
"022","8am",365.94787,2471.6027,2924.2716,3816.3383
