"district","hour","educmen1","educmen2","educmen3","educmen4"
"023","9am",8.700645,33.69568,32.84436,24.759316
"024","9am",14.316749,62.46934,11.83947,11.374437
"025","9am",6.335074,24.22241,32.00379,37.438723
"026","9am",5.580684,21.03257,30.4228,42.963954
"027","9am",3.434221,30.82157,37.76968,27.974536
"028","9am",3.406373,35.90206,37.6258,23.065764
"029","9am",5.121898,38.23934,32.97765,23.661116
"030","9am",4.064445,43.37218,28.18493,24.37844
"031","9am",19.075352,40.11444,27.31838,13.491826
"032","9am",4.26379,42.16966,39.52469,14.041862
"033","9am",4.904593,57.67516,25.06689,12.353356
"034","9am",5.131897,34.10929,40.93133,19.827483
"035","9am",3.475818,51.68865,26.85978,17.975751
"036","9am",3.361015,39.06149,34.82691,22.750586
"037","9am",6.300332,51.23785,22.81492,19.646903
"038","9am",10.539848,30.53739,33.40619,25.516565
"039","9am",2.244827,30.84569,36.54951,30.35998
"040","9am",7.64128,32.64941,30.46108,29.248235
"041","9am",5.474322,41.83454,26.68975,26.001389
"042","9am",9.734963,36.51212,35.44089,18.312022
"043","9am",15.119909,32.83054,34.06912,17.98043
"044","9am",13.824217,42.77134,21.63595,21.768494
"045","9am",3.890984,68.52116,18.5236,9.064252
"046","9am",6.568191,54.23185,27.99321,11.206745
"047","9am",4.670113,41.47714,41.79991,12.052839
"048","9am",16.17248,40.07304,33.04722,10.707258
"049","9am",7.359567,59.75243,20.42413,12.463871
"050","9am",12.002908,53.54363,27.1255,7.327955
"051","9am",6.488111,54.42745,19.98562,19.098811
"052","9am",10.508076,43.47691,26.35709,19.657927
"053","9am",18.508662,49.27028,22.15132,10.069739
"054","9am",12.103456,52.86567,26.56707,8.463801
"055","9am",9.754085,44.19364,33.09063,12.961653
"056","9am",9.022304,46.14756,33.61828,11.211854
"057","9am",3.071422,39.46778,28.77028,28.690513
"058","9am",12.708066,70.59612,11.53084,5.164979
"059","9am",14.059902,57.36866,23.01974,5.5517
"060","9am",20.43406,47.1569,26.21867,6.190376
"061","9am",16.568882,53.58646,21.10451,8.740151
"062","9am",3.330216,50.26549,30.81998,15.584312
