"district","hour","resarea1","resarea2","resarea3"
"048","9am",3572.9096,223.18778,131.25931
"049","9am",3121.82668,31.21032,227.52607
"050","9am",1691.50161,0,134.17718
"051","9am",70.99298,1936.16548,52.88116
"052","9am",3528.39231,158.39549,195.50148
"053","9am",3909.03688,0,40.16138
"054","9am",4230.19958,664.87908,513.73705
"055","9am",2979.25745,146.66742,183.07183
"056","9am",599.26294,5899.83804,145.80815
"057","9am",203.50524,2363.73956,176.5079
"058","9am",406.42452,3788.55029,0
"059","9am",747.32088,9836.55805,291.29647
"060","9am",1519.67115,5692.95636,186.77289
"061","9am",5947.23193,452.58742,63.24531
"062","9am",4942.96638,310.222,76.20941
"063","9am",1669.97012,204.22551,135.36444
"064","9am",4457.54561,0,127.18223
"065","9am",5940.29147,103.76359,278.12522
"066","9am",5047.24673,131.87296,0
"067","9am",6382.75218,574.19301,183.99116
"068","9am",6413.6075,231.03885,72.92888
"069","9am",2748.32318,219.34975,255.77936
"070","9am",1065.26564,8893.42497,82.811
"071","9am",246.26193,8414.23833,66.21965
"072","9am",107.46381,6481.12612,115.298
"073","9am",390.57283,12524.16501,87.29451
"074","9am",716.86476,8403.97219,134.08072
"075","9am",1355.951,12931.048,242.13918
"076","9am",215.20261,5036.36932,0
"077","9am",5948.27453,32.50435,65.27096
"078","9am",10462.38615,189.13991,95.06255
"079","9am",10350.61219,166.5665,94.08346
"080","9am",5804.53976,68.82892,77.17936
"001","10am",636.38092,1793.11026,8827.62322
"002","10am",975.6739,1258.15694,4975.5461
"003","10am",996.84653,1731.48008,11120.16124
"004","10am",352.93918,272.86489,3159.43807
"005","10am",329.82527,651.56777,4318.19659
"006","10am",813.50188,1314.85095,8793.76529
"007","10am",121.37864,377.35678,4344.92892
"008","10am",54.41388,142.47128,1842.74946
"009","10am",2479.10886,3337.31111,10157.67077
"010","10am",288.27115,728.76188,3854.16417
"011","10am",1072.48459,941.7848,6634.80344
"012","10am",0,314.2956,6082.50615
"013","10am",889.50383,1633.67801,4987.93728
"014","10am",490.35252,507.74965,6777.57438
"015","10am",171.88622,95.49753,2684.54676
"016","10am",132.33588,583.92921,3107.953
"017","10am",1150.66664,1472.59861,7608.08236
"018","10am",840.09848,721.72746,7115.2739
"019","10am",1708.32078,1760.41164,7259.76687
"020","10am",81.35352,91.14685,4828.00994
"021","10am",275.32259,70.21752,2856.82822
"022","10am",2368.27387,2888.21068,10711.15548
