"ID_SEC";"ZONAGE_SEC"
"SAO PAULO_2017_z443";1
"SAO PAULO_2017_z444";1
"SAO PAULO_2017_z445";2
"SAO PAULO_2017_z446";2
"SAO PAULO_2017_z447";2
"SAO PAULO_2017_z448";2
"SAO PAULO_2017_z449";2
"SAO PAULO_2017_z450";2
"SAO PAULO_2017_z451";2
"SAO PAULO_2017_z452";2
"SAO PAULO_2017_z453";1
"SAO PAULO_2017_z454";2
"SAO PAULO_2017_z455";2
"SAO PAULO_2017_z456";2
"SAO PAULO_2017_z457";2
"SAO PAULO_2017_z458";2
"SAO PAULO_2017_z459";2
"SAO PAULO_2017_z460";2
"SAO PAULO_2017_z461";2
"SAO PAULO_2017_z462";2
"SAO PAULO_2017_z463";2
"SAO PAULO_2017_z464";1
"SAO PAULO_2017_z465";1
"SAO PAULO_2017_z466";1
"SAO PAULO_2017_z467";1
"SAO PAULO_2017_z468";1
"SAO PAULO_2017_z469";1
"SAO PAULO_2017_z470";1
"SAO PAULO_2017_z471";1
"SAO PAULO_2017_z472";1
"SAO PAULO_2017_z473";1
"SAO PAULO_2017_z474";1
"SAO PAULO_2017_z475";1
"SAO PAULO_2017_z476";1
"SAO PAULO_2017_z477";1
"SAO PAULO_2017_z480";1
"SAO PAULO_2017_z481";1
"SAO PAULO_2017_z482";1
"SAO PAULO_2017_z483";1
"SAO PAULO_2017_z484";1
"SAO PAULO_2017_z485";1
"SAO PAULO_2017_z486";1
"SAO PAULO_2017_z487";1
"SAO PAULO_2017_z488";1
"SAO PAULO_2017_z489";2
"SAO PAULO_2017_z490";2
"SAO PAULO_2017_z491";2
"SAO PAULO_2017_z492";2
"SAO PAULO_2017_z493";2
"SAO PAULO_2017_z494";2
"SAO PAULO_2017_z495";2
"SAO PAULO_2017_z496";2
"SAO PAULO_2017_z497";2
"SAO PAULO_2017_z498";2
"SAO PAULO_2017_z499";2
"SAO PAULO_2017_z500";2
"SAO PAULO_2017_z501";2
"SAO PAULO_2017_z502";2
"SAO PAULO_2017_z503";1
"SAO PAULO_2017_z504";1
"SAO PAULO_2017_z505";1
"SAO PAULO_2017_z506";1
"SAO PAULO_2017_z507";1
"SAO PAULO_2017_z508";1
"SAO PAULO_2017_z509";1
"SAO PAULO_2017_z511";1
"SAO PAULO_2017_z512";1
"SAO PAULO_2017_z513";1
"SAO PAULO_2017_z514";1
"SAO PAULO_2017_z515";1
"SAO PAULO_2017_z516";1
"SAO PAULO_2017_z517";1
"BOGOTA_2019_UTAM117";2
