CODE_SEC,CENTROID_X,CENTROID_Y,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
7814,1.935785254,48.64406896,1639.0907203522,1506.52912889923,1373.17185809664,1637.40444379366,1490.04757167907,1490.04757167907,1617.96527474884,1681.93933220885,1481.46582692843,1539.95781492754,1399.36541506394,1605.30020648138,1605.30020648138,1637.10494804209,1637.10494804209,1696.12760931942,1696.12760931942,1696.12760931942,1746.99030227386,1746.99030227386,1634.66202702679,1634.66202702679,1784.29457795493,1615.61880378138
7815,1.798678084,48.60753246,5905.9425756015,4797.93872518216,5358.73347660489,5008.02596523652,5358.73347660489,5905.26472216625,5922.33568164143,5818.99571151859,6349.59077384259,6546.79437222679,7597.68381015745,7597.68381015745,7597.68381015745,7771.70781207639,7771.70781207639,7771.70781207639,7771.70781207639,7771.70781207639,7771.70781207639,7622.07526114825,7622.07526114825,7169.62895099832,5721.60571323705,6074.54669693827
7816,2.026473259,48.76625406,17023.9429612265,17289.8454281685,16992.8288890981,16932.3167039364,14925.9566715984,14811.1474331419,15554.9942266695,15162.5383049911,14399.23109288,13685.5128337637,16045.1155194416,16689.4039361873,17017.6187799196,17017.6187799196,16664.15494854,16664.15494854,16664.15494854,16664.15494854,15842.4345513336,15574.389491794,14485.3862267221,14133.2704353676,14028.5833405069,16793.5319412615
9101,2.417698599,48.61339374,17553.9012568978,17355.1850721229,16876.164686588,17727.7172898701,16277.3757234079,18796.8070407478,19204.6328228131,17533.5863439045,16390.4739037025,15441.7397038032,15623.4475762039,14733.3339278773,14463.0760826661,13984.0553557565,14120.7546530227,14120.7546530227,14120.7546530227,14120.7546530227,14257.453950289,14114.6172495288,14079.3268559717,13976.9731542901,12948.289302129,16452.326812885
9102,2.067817452,48.4905725,8872.53580322292,7358.33596624595,8191.86313916325,8938.66842758248,8512.53025363883,7982.55379245891,7982.55379245891,8236.67194792613,7745.24686519966,9275.1661762786,9099.71622421868,9622.25985334996,9733.61541376718,9733.61541376718,9733.61541376718,9733.61541376718,9733.61541376718,9733.61541376718,10121.0695069668,10121.0695069668,9757.00090202946,9479.76969159881,9053.55010775888,8345.84545198496
9103,2.267643936,48.40294365,14292.9320342175,14900.0107820995,15494.7278384379,15716.3770959437,16285.3427558067,16288.0004352057,15771.4106399381,15976.6409212949,16067.3514498119,16982.3063467882,16982.3063467882,16982.3063467882,16982.3063467882,16982.3063467882,16982.3063467882,16982.3063467882,17780.5089644684,17780.5089644684,17182.4974788339,17182.4974788339,17182.4974788339,16196.9316280975,16168.8789665352,16334.0048047447
9104,2.307011289,48.64172362,10228.207673791,9268.57909600513,8912.80094511642,9967.96995839682,9923.57958825226,7190.1863047166,8905.78183486096,9813.27602616272,10560.728655215,10903.3649902635,10886.3776329856,11670.2317011969,11412.4526121137,11412.4526121137,10966.9898176885,10966.9898176885,10966.9898176885,10966.9898176885,10966.9898176885,10592.0477164724,10220.9456121751,10471.4184631387,10313.6344807654,9216.78365124563
9105,2.258571622,48.59828925,14678.996332165,14809.8406647477,13439.2786115572,12737.71181583,13218.6966997075,13794.8077710757,14755.4943856923,12241.5578714637,12608.3239847374,12397.2672944623,13019.429588118,12887.468486551,13379.4070306723,13379.4070306723,13379.4070306723,13379.4070306723,13379.4070306723,13379.4070306723,13379.4070306723,13301.3747139631,13679.9173258073,13405.268354635,13860.3586173361,13558.2117044673
9106,2.430027506,48.55644822,20654.4560090879,22359.5640252694,21169.5635092136,20466.0408281382,21019.2237194476,19637.4758951637,19650.0962463072,17488.2233372759,19891.228003848,20889.4319473065,21982.0640145013,21658.5810598843,22099.3005435663,23052.2216503572,23052.2216503572,23052.2216503572,23052.2216503572,23052.2216503572,22343.6897209668,22815.4012207562,22371.3219583937,21304.4436490649,21539.3064619731,20145.6667512841
9107,2.44908999,48.69656451,17428.2219856099,16639.1520049616,17591.3160188861,17327.7228730074,18684.1601546918,16340.621687816,16344.6638476932,16422.745482939,17132.9555322346,18889.2463776267,19466.1549288419,20896.7653306099,21128.7827765305,20952.2335564494,20952.2335564494,20952.2335564494,20952.2335564494,20952.2335564494,20952.2335564494,20952.2335564494,20142.6543756654,18824.5873208854,17602.9291966147,18226.9718158085
9108,2.502020835,48.65601369,9120.10246014409,9115.82980246573,8727.08348766594,8792.23423624037,9337.07462645845,9337.07462645845,9133.77979103706,8920.91886204971,7910.14419705798,8757.13658668952,9003.30014165854,8592.45230847989,8592.45230847989,8624.89941442321,8624.89941442321,8624.89941442321,8624.89941442321,8763.71579426481,8763.71579426481,8763.71579426481,8587.16657418364,8484.18139279818,8750.00085116903,9003.41103362446
9109,2.367438867,48.70388285,12666.1221050802,12085.587898702,12400.0122834019,11212.3085712808,11623.1494246621,11528.041925922,11791.8248874413,11845.1206631467,12933.0299942176,12705.6463516154,11757.0803247205,12337.840588793,12103.601595174,12552.656062001,12749.1665469244,12749.1665469244,12749.1665469244,13388.8585399801,13488.1699069366,13747.5554802682,13454.3512740643,12961.9543767613,12515.9179456019,12562.8659410894
9110,2.371051182,48.65380623,13749.1563476296,13323.5823629729,13246.1898662676,13002.7784253059,13455.3977856641,12187.3654280086,12306.9906225367,13370.7297021714,14818.6861440821,16468.8732564328,17146.3577038997,17715.9934280535,17715.9934280535,18202.1734569095,18202.1734569095,18202.1734569095,18202.1734569095,18202.1734569095,18404.4776782124,17953.0561394724,17324.3506580611,16961.5359320286,15568.9135771964,15275.2685466361
9111,2.309000161,48.72036057,12045.5283301787,11678.2259380895,11475.3591346794,13349.8076870691,12603.4533974898,10138.3521775266,11849.7627834881,13244.2925463556,12441.5703522992,13226.5766806302,12729.4849809587,12597.2570873379,13080.3616901805,12906.9908382811,13352.4536327063,13352.4536327063,13201.7322440236,13201.7322440236,13337.7552738606,13576.8236467859,13932.4377448373,13997.0855586624,14219.1460127379,13333.0981894362
9112,2.27328968,48.68361495,7384.30462261539,9097.84661030095,9079.48621924634,10139.7264969544,7298.08055921446,7551.90224025383,7040.45577605705,6786.93015373583,7640.13492041617,7762.58245025586,8795.31461539898,9089.89154871575,8916.52069681633,9089.89154871575,8756.68176652617,8756.68176652617,8756.68176652617,8756.68176652617,8756.68176652617,8756.68176652617,8972.34473728721,8175.62267248987,7870.50270449453,7688.15982048561
9113,2.207158409,48.73273112,11090.8463354989,11622.2082626582,12029.9162750266,11713.9652498148,10908.3859886598,10253.1566655461,9375.8544727585,8814.69852231885,8698.47679603001,8179.69930337558,9052.92431551616,8223.16662261268,9282.46410149729,9550.88801793992,9550.88801793992,9282.46410149729,9433.18549017998,9433.18549017998,9665.0113963502,9665.0113963502,9009.47387253877,9014.18943922327,8954.76051431115,10540.1786693433
9114,2.113757568,48.65455283,3037.16249011573,3037.16249011573,3037.16249011573,3037.80912390426,3234.2952834883,3725.8717849199,3573.87921840801,3973.44915821458,2394.81196567589,3134.08280470156,3134.08280470156,3134.08280470156,3134.08280470156,2865.65888825894,2865.65888825894,2865.65888825894,2865.65888825894,2865.65888825894,3134.08280470156,3134.08280470156,3134.08280470156,2745.09375752497,3311.52325311474,3401.05679804369
9201,2.296822175,48.92969876,24956.7296149889,24814.1815188671,27380.4674946598,27934.1858906727,25535.9671481952,26401.0982974967,24409.9844076526,29950.6061158177,28992.7557759279,30488.689774652,30497.7911765308,30050.7341687317,30279.8490332632,31170.1134550199,30966.9982109362,30966.9982109362,30966.9982109362,30818.0106097581,31043.1477414604,31043.1477414604,30002.0871496714,29656.6695233756,24413.0588711814,23341.1242522456
9202,2.250557272,48.92118352,12093.2638930462,12605.8350563197,12613.0448954805,13023.797258742,12801.8528959567,14185.1218676384,12241.4019825188,11796.3839773506,13257.7941370291,14134.9692230125,13889.1111381238,15137.5808065434,15547.4309982755,15856.8348009709,15856.8348009709,15856.8348009709,15856.8348009709,15856.8348009709,15657.2762421145,15657.2762421145,15145.2919858886,14525.4501007606,12659.4655445494,11383.5569432855
9203,2.284225766,48.89366703,27183.2479832298,26650.0048667313,26182.3347333065,25984.4081783661,24403.1249541982,23938.3096193459,23625.4827266316,21241.6531521746,22121.4518064142,20348.3900491822,20499.3205710638,20499.3205710638,19722.3716212302,19722.3716212302,19426.4806613091,20018.3108443417,20018.3108443417,20018.3108443417,19816.462432368,20129.4135928835,19232.8172143717,19649.9736581929,20780.5697539022,23453.3567702405
9204,2.210843262,48.89723437,22652.3752043305,23342.003108922,23884.8761965706,23115.0783431182,24108.944499331,22466.1947521485,21160.376876401,18107.2009326138,18497.2729712028,16935.847636003,15937.1225143508,15769.9462643396,15996.6452460406,16743.9244601537,16743.9244601537,16743.9244601537,16743.9244601537,16743.9244601537,17335.4915648291,16973.9618626631,16381.1545906223,18531.1860146852,19085.7784263053,20969.7417078981
9205,2.248346018,48.89221379,15281.3061194549,16527.284483838,16431.0284388418,16254.565111397,18755.0789638304,17079.0615052188,16129.5176271553,14889.0851439357,11227.5040702643,9747.45700361848,8083.46356756887,7289.778455816,7860.05070305851,9141.32932075748,8623.80997688491,8416.04782174404,8416.04782174404,8416.04782174404,8416.04782174404,8416.04782174404,7516.15951297255,7807.67421277308,10681.9809318172,13476.6610543956
9206,2.186072524,48.86932163,7802.59323837296,7802.59323837296,7537.31958120304,8528.37687263512,8853.65218841503,8353.5442566055,7523.9485274628,6595.98495169082,7081.06003185656,7960.48298455469,8217.47694972159,8217.47694972159,8547.29588476457,7153.38859169213,6856.37696174607,6856.37696174607,6856.37696174607,6856.37696174607,6267.17245337145,6628.70215553747,7226.49834112136,7123.46899154262,7410.92243629651,7155.36245253132
