"district","hour","dep1","dep2","dep3","dep4","dep5"
"7807","8am",0,191.6878,247.33771,617.4784,39065.7498
"7808","8am",416.8717,0,0,296.4036,43274.4387
"7809","8am",672.8121,0,0,365.4114,51684.493
"7810","8am",0,0,0,0,17809.7414
"7811","8am",829.003,0,233.85945,0,61570.0968
"7812","8am",1097.47,1696.1552,662.28515,5086.5341,121560.1716
"7813","8am",0,0,74.70248,188.1355,30236.2992
"7814","8am",0,0,0,0,17403.7616
"7815","8am",172.576,0,2329.98453,137.8865,25543.3019
"7816","8am",1070.3401,281.6584,264.14936,1748.0671,93043.1686
"9101","8am",0,274.0747,1194.02668,0,54353.1902
"9102","8am",387.5187,0,283.35454,0,39368.3611
"9103","8am",0,0,360.79389,243.2046,48362.5847
"9104","8am",0,0,0,0,37575.1364
"9105","8am",631.0865,943.4351,0,0,59904.092
"9106","8am",701.3366,0,74.70248,498.6492,72980.8411
"9107","8am",0,154.4518,398.96783,0,64892.7577
"9108","8am",0,0,284.85785,0,44228.5921
"9109","8am",1418.8961,238.0516,478.70035,259.3856,57967.775
"9110","8am",0,166.4846,0,0,48607.879
"9111","8am",947.1529,1089.7807,681.03936,201.6261,52601.5549
"9112","8am",0,0,563.6601,0,38334.3332
"9113","8am",591.5358,230.4909,494.00499,1733.9816,67741.4118
"9114","8am",0,0,1103.14622,0,35522.6907
"9201","8am",214.9271,6435.5752,513.28495,85499.4622,6764.5709
"9202","8am",1320.9258,710.5631,537.43798,64506.098,4679.1737
"9203","8am",3875.9978,4330.7679,1465.77198,120488.1691,6087.9565
"9204","8am",2578.1892,2500.8878,1618.55947,74916.3295,9963.3801
"9205","8am",4840.852,2890.311,1222.84222,89177.9162,7284.0762
"9206","8am",1633.9169,521.5704,607.81881,76939.9886,7182.3759
"9207","8am",292.6979,287.3537,1069.63407,69229.237,2151.5993
"9208","8am",1952.9591,557.2111,270.86895,78062.7876,2446.3767
"9209","8am",1438.2603,434.8276,2000.90208,106376.7019,7484.6221
"9210","8am",3135.4884,269.8574,1911.97189,96917.5527,5868.0365
"9211","8am",3470.8311,2186.0093,2749.83449,61421.3848,1355.1714
"9212","8am",666.2037,426.7911,523.27047,61564.6092,3749.8227
"9302","8am",0,35206.5618,593.03743,545.7867,3070.2954
"9303","8am",2276.4302,96697.666,223.31113,947.3406,2836.1148
"9304","8am",950.7354,97401.6884,2151.10411,1412.7497,3183.8627
"9305","8am",0,59072.226,0,343.4945,727.5098
"9306","8am",394.4757,74596.2938,1022.13095,0,1983.0324
"9307","8am",3630.1177,58121.1387,0,0,849.7552
"9308","8am",385.1634,47166.5801,0,1108.7456,2721.8756
"9309","8am",2781.4898,71342.5387,82.85979,0,6367.7828
"9310","8am",1008.9055,84068.5862,784.40336,786.4015,1389.2297
"9311","8am",751.394,94298.7562,690.49114,1399.1297,3769.6005
"9312","8am",4145.5114,138019.5513,1435.06927,2296.9455,14147.1341
"9402","8am",1832.9246,1627.2288,86170.13992,3361.7471,4216.2938
