"district","hour","rev1","rev2","rev3","rev4"
"9212","7am",18.094158,31.83763,27.951226,22.116986
"9302","7am",22.377081,42.0884,30.347659,5.186855
"9303","7am",42.134126,35.86298,17.918771,4.084121
"9304","7am",36.397002,39.18517,21.510271,2.907556
"9305","7am",41.968395,25.26783,19.730395,13.033383
"9306","7am",17.780057,45.21868,26.462239,10.53902
"9307","7am",34.931248,34.67481,19.408163,10.985783
"9308","7am",34.702077,39.26394,21.790011,4.243974
"9309","7am",42.477978,31.63581,17.32282,8.563392
"9310","7am",36.337818,43.70034,15.715839,4.246007
"9311","7am",48.819963,36.56029,10.836227,3.783522
"9312","7am",42.354797,39.16995,14.4236,4.051649
"9402","7am",29.973467,46.27493,18.55685,5.194756
"9403","7am",26.305138,36.91571,30.835346,5.943809
"9404","7am",29.706314,36.40317,26.111822,7.778694
"9405","7am",19.952688,42.66244,27.702693,9.682178
"9406","7am",30.117516,45.81434,16.663294,7.404854
"9407","7am",23.402014,30.45511,29.08727,17.055611
"9408","7am",7.156975,39.52141,35.545557,17.776058
"9409","7am",14.829097,34.96778,30.320278,19.882843
"9410","7am",15.588739,42.00707,26.364171,16.040025
"9411","7am",40.356853,38.85426,11.884897,8.90399
"9412","7am",23.342722,39.80448,18.587254,18.26554
"9413","7am",37.594233,38.80402,19.181451,4.420298
"9414","7am",12.603586,33.70959,32.853699,20.83313
"9501","7am",27.718278,37.91573,27.371549,6.994444
"9502","7am",31.148534,38.23581,21.762419,8.853237
"9503","7am",20.536873,39.98198,22.36797,17.113177
"9504","7am",18.230433,32.52515,35.852218,13.392203
"9505","7am",21.056123,45.06355,27.182327,6.697998
"9506","7am",32.31673,37.87422,23.232814,6.576239
"9507","7am",39.074419,54.32329,4.437475,2.164814
"9508","7am",27.716865,44.13211,22.280921,5.8701
"9509","7am",18.213138,33.40593,23.961356,24.419579
"9510","7am",21.323478,30.79739,32.338606,15.540522
"9511","7am",9.708127,36.40971,37.859113,16.02305
"9512","7am",19.014578,39.10337,26.128262,15.753787
"9513","7am",13.350675,43.17282,28.145848,15.330653
"7501","8am",12.772854,27.80844,30.336473,29.0822338
"7502","8am",17.341576,20.2487,22.225667,40.1840586
"7503","8am",22.834856,24.5577,27.228545,25.3788968
"7504","8am",20.589637,32.78437,29.236954,17.3890398
"7505","8am",16.397285,32.28078,31.105979,20.2159591
"7506","8am",16.409103,33.69291,32.387338,17.5106519
"7507","8am",23.906699,31.63686,22.130764,22.3256723
"7508","8am",14.676477,25.16586,32.70258,27.4550848
"7509","8am",13.522548,33.179,24.392767,28.9056885
"7510","8am",17.276495,22.77896,19.359896,40.584644
"7511","8am",18.154164,23.93646,21.709128,36.200252
"7512","8am",31.31105,27.55668,22.03521,19.0970551
"7513","8am",31.726964,26.7728,26.652746,14.8474934
"7514","8am",29.339409,27.87991,23.259171,19.5215097
"7701","8am",20.435254,49.9275,26.495565,3.1416793
"7702","8am",15.256509,42.73443,24.399484,17.60958
"7703","8am",19.190761,40.22194,29.040904,11.5463988
"7704","8am",36.306241,40.64761,18.183468,4.8626768
"7705","8am",20.725721,45.75986,24.748393,8.7660317
"7706","8am",21.563995,51.74992,21.763975,4.9221123
"7707","8am",17.864967,58.6338,18.833974,4.6672544
"7708","8am",20.134805,37.79114,33.15818,8.9158783
"7709","8am",17.82426,49.29166,25.067386,7.8166889
"7710","8am",9.695057,54.69535,21.538745,14.0708487
"7711","8am",26.914255,46.10175,18.209149,8.774847
"7712","8am",32.894476,34.49174,23.779198,8.834586
"7713","8am",40.16826,32.02967,19.294702,8.5073674
"7714","8am",25.447369,33.12259,31.421793,10.0082471
"7715","8am",33.351045,45.58028,16.067003,5.0016676
"7716","8am",24.17242,44.58586,25.509146,5.7325772
"7801","8am",10.570896,34.99346,22.000343,32.4352983
"7802","8am",12.39014,16.58606,30.249539,40.7742654
"7803","8am",13.159811,20.62616,33.96629,32.2477342
"7804","8am",17.989141,30.36944,30.087909,21.5535104
"7805","8am",19.300799,35.05906,25.420513,20.2196295
"7806","8am",21.047323,41.85139,26.226559,10.8747235
"7807","8am",44.990069,25.38442,24.454705,5.1708096
"7808","8am",30.555992,35.61215,22.516884,11.3149785
"7809","8am",17.231313,31.38733,34.062079,17.3192737
"7810","8am",12.104959,36.67308,30.106949,21.1150082
"7811","8am",11.553738,22.33259,32.639347,33.4743253
"7812","8am",8.960549,29.59722,27.551974,33.8902615
"7813","8am",13.234425,27.07882,32.57724,27.1095159
"7814","8am",11.076962,31.90339,35.575305,21.4443388
"7815","8am",12.67685,43.93119,24.711298,18.6806608
"7816","8am",14.4542,33.82965,32.931911,18.7842414
"9101","8am",35.738937,35.02067,17.402002,11.8383917
"9102","8am",14.38912,37.62692,26.871154,21.1128013
"9103","8am",29.923569,33.50169,26.061929,10.5128123
"9104","8am",20.111898,35.08661,30.028379,14.7731103
"9105","8am",14.857618,42.98997,27.016506,15.1359012
"9106","8am",27.466709,25.83198,31.05062,15.650687
"9107","8am",21.124657,31.81279,37.018097,10.0444571
"9108","8am",21.783279,39.35367,23.961276,14.9017748
"9109","8am",20.240641,35.72062,25.546502,18.4922344
"9110","8am",40.727993,31.64943,17.042431,10.5801473
"9111","8am",16.349607,39.86105,29.475967,14.3133799
