"district","hour","occ1","occ2","occ3","occ4","occ5"
"9509","6am",60.68018,6.924416,6.024086,19.26144,7.109878
"9510","6am",60.37796,5.08479,5.863928,20.21908,8.454238
"9511","6am",58.97599,4.636293,5.563664,24.8417,5.982353
"9512","6am",56.57516,7.718988,6.025599,20.91221,8.768042
"9513","6am",60.35959,4.122167,4.372193,21.96842,9.177629
"7501","7am",64.59366,9.649998,7.150527,16.99581,1.610005
"7502","7am",54.08908,13.554142,4.55445,21.07392,6.728408
"7503","7am",64.96355,9.073036,5.336786,14.23542,6.391213
"7504","7am",64.23463,7.879705,10.435978,12.38048,5.069202
"7505","7am",58.6565,9.476087,8.718691,15.36087,7.787857
"7506","7am",63.29796,7.680179,5.934536,18.60104,4.486283
"7507","7am",57.15995,13.180927,6.627518,17.62913,5.402474
"7508","7am",57.39811,11.252263,5.373302,20.49757,5.478754
"7509","7am",56.06023,11.07144,4.085224,20.97296,7.810151
"7510","7am",50.38739,9.492279,4.680781,23.4977,11.941857
"7511","7am",57.41111,9.40217,6.770494,18.62877,7.787449
"7512","7am",58.47689,8.014332,8.311529,16.65508,8.542167
"7513","7am",51.02955,10.257122,10.409475,19.24171,9.062145
"7514","7am",54.19328,7.836527,9.828421,19.56689,8.57488
"7701","7am",64.9425,9.948062,6.206263,12.61359,6.289584
"7702","7am",61.23401,6.648838,6.908938,16.31815,8.890058
"7703","7am",64.39916,4.987084,5.838279,18.89863,5.876855
"7704","7am",51.12678,5.94372,5.482989,23.49325,13.953265
"7705","7am",60.72958,7.049806,7.482481,20.72321,4.014929
"7706","7am",51.63685,3.510844,8.413716,28.33357,8.105016
"7707","7am",50.55122,2.75022,7.823783,27.38343,11.491344
"7708","7am",54.76698,7.423559,6.295353,25.23098,6.283123
"7709","7am",61.14622,5.625185,3.894701,23.91643,5.417465
"7710","7am",58.52196,4.978656,7.198749,21.83974,7.460888
"7711","7am",58.06984,8.748422,5.974173,20.10712,7.100444
"7712","7am",50.0305,6.316481,7.296503,25.18938,11.16713
"7713","7am",41.32427,5.279283,8.137149,31.09032,14.168979
"7714","7am",51.15236,9.639356,4.712855,27.24139,7.254035
"7715","7am",51.24493,2.092074,6.620292,29.28853,10.754184
"7716","7am",64.55734,7.885672,6.59902,14.17488,6.783082
"7801","7am",62.18198,8.16157,3.485919,21.77762,4.392921
"7802","7am",47.76931,9.530614,5.523286,25.12015,12.056637
"7803","7am",57.6053,8.499402,5.634185,20.93795,7.32317
"7804","7am",50.3478,5.921928,6.269834,28.80827,8.652172
"7805","7am",56.30872,6.498156,6.515203,18.97218,11.705736
"7806","7am",54.34247,5.563087,5.948821,24.58046,9.565171
"7807","7am",37.93743,7.818971,11.712993,29.44755,13.083054
"7808","7am",58.57634,5.640038,6.386575,18.9274,10.469653
"7809","7am",59.7032,5.881882,6.0882,21.63477,6.691944
"7810","7am",48.45751,5.389997,6.269907,26.77496,13.107619
"7811","7am",57.74069,3.782268,3.417665,27.85631,7.203068
"7812","7am",53.2706,9.591905,4.489101,24.63833,8.010068
"7813","7am",55.96248,6.540052,6.737936,20.02374,10.735791
"7814","7am",57.09875,5.666325,4.271447,25.29023,7.67324
"7815","7am",53.38193,3.888564,4.18481,25.67321,12.871487
"7816","7am",67.66004,7.311089,5.065994,13.39278,6.570092
"9101","7am",59.87416,8.804579,8.679817,14.00508,8.636362
"9102","7am",57.64847,5.246367,5.760676,24.22769,7.116805
"9103","7am",56.83002,3.171324,6.305343,26.92029,6.773025
"9104","7am",58.0657,4.308535,3.702742,25.1501,8.772918
"9105","7am",61.53244,7.408148,5.713778,18.44967,6.895965
"9106","7am",51.38854,7.871973,7.551323,23.71536,9.472799
"9107","7am",53.81152,6.505851,6.197397,26.60837,6.876858
"9108","7am",53.63019,7.576574,6.177692,24.17975,8.435794
"9109","7am",58.83886,4.688358,5.830743,25.63664,5.005396
"9110","7am",53.26743,6.901112,8.081626,20.52548,11.224353
"9111","7am",63.00895,7.320094,4.436533,18.10061,7.133819
"9112","7am",57.51625,5.161444,6.623042,25.12639,5.572874
"9113","7am",57.6087,8.360408,5.029155,24.0992,4.902535
"9114","7am",51.00354,10.228326,4.744993,25.92076,8.102381
"9201","7am",57.44281,7.180379,8.375343,18.27877,8.722707
"9202","7am",58.33459,7.271029,8.237648,19.4122,6.744536
"9203","7am",58.78691,5.619416,6.879007,19.81977,8.894894
"9204","7am",61.46875,7.369181,7.652472,15.53959,7.970007
"9205","7am",65.26154,7.627766,6.285088,15.46544,5.36016
"9206","7am",62.58184,5.921944,5.427215,18.95017,7.118836
"9207","7am",57.68706,8.107747,4.680698,22.37766,7.146838
"9208","7am",58.94064,8.093058,5.72645,20.20546,7.034399
"9209","7am",62.09843,8.013518,6.071286,19.44914,4.367632
"9210","7am",57.05355,7.546031,5.068637,23.19536,7.136423
"9211","7am",58.23021,6.763722,6.776451,21.9824,6.247225
"9212","7am",58.22212,8.379742,3.369935,23.15437,6.87384
"9302","7am",52.65273,8.32564,5.147002,26.10109,7.773541
"9303","7am",52.04489,7.283,9.982418,18.06065,12.629042
"9304","7am",54.36978,6.974745,11.205077,18.71811,8.732289
"9305","7am",47.85607,9.360808,10.074954,20.14985,12.558313
"9306","7am",55.78798,6.969983,6.907314,24.63882,5.695895
"9307","7am",43.53819,7.148333,8.726519,19.49753,21.089429
"9308","7am",48.22947,7.462465,10.032993,21.57402,12.701054
"9309","7am",52.42648,7.266356,9.942145,17.28898,13.076039
"9310","7am",49.07743,7.323161,10.254583,20.1267,13.218124
"9311","7am",43.73417,10.898336,12.189023,18.89412,14.284354
"9312","7am",49.27719,8.014763,12.802432,15.31599,14.589626
"9402","7am",52.38,8.905861,9.172601,19.53796,10.003573
"9403","7am",56.92749,11.027187,7.316507,17.52855,7.200272
"9404","7am",56.65027,6.955112,7.827268,18.86175,9.705601
"9405","7am",62.62619,5.937723,5.442766,20.1476,5.845723
"9406","7am",53.61743,10.803784,8.713708,18.95633,7.908745
"9407","7am",58.87742,7.007218,5.714867,21.42076,6.979742
"9408","7am",54.34323,7.518132,6.834681,25.20592,6.098038
"9409","7am",61.41725,5.774236,6.062936,21.2218,5.523774
"9410","7am",57.436,9.04162,5.379094,21.1714,6.971889
"9411","7am",54.55684,5.751456,8.121999,20.58848,10.981218
"9412","7am",62.82928,7.559158,7.470586,15.45442,6.686562
"9413","7am",51.70453,7.774341,9.317479,20.55451,10.649147
"9414","7am",56.53744,6.934958,4.289533,22.77888,9.459196
"9501","7am",57.44629,13.607718,7.759447,13.76205,7.424491
"9502","7am",56.83328,8.395215,7.332958,18.191,9.247544
"9503","7am",58.6046,3.925918,8.773904,22.87542,5.820162
"9504","7am",60.28331,6.567402,3.535395,22.63453,6.979361
"9505","7am",58.20584,7.791212,3.310643,19.91656,10.775751
"9506","7am",52.74408,7.06442,13.072098,16.35617,10.763231
"9507","7am",41.91416,10.062007,13.201285,17.25725,17.565296
"9508","7am",50.95151,7.946519,9.717328,18.85588,12.528769
"9509","7am",56.82089,7.074241,6.754085,21.37933,7.971453
"9510","7am",57.24911,5.276809,6.362558,21.93839,9.173132
