SECT_EGT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
9107;7551.17196617759;7689.38212611213;8019.17090182423;8025.20870665841;8251.55039404401;8869.09388043118;8055.6903132131;7232.42636525592;7379.55979160913;7921.537941926;7547.30375312558;9734.80451613592;9912.78566094243;10068.9869879347;10068.9869879347;10068.9869879347;10068.9869879347;10068.9869879347;9917.64680458791;9917.64680458791;9577.87455962548;9139.53299661882;8157.21962315984;8298.57512547269
9108;6006.00777736677;5764.08280587418;6230.90288679107;6353.79063882758;7684.30434297143;7691.98823276453;8464.06050176016;7717.23667026876;8013.16991247116;9275.06715054532;10346.3457915763;11236.3066775417;11791.2043587462;12291.0922219423;12201.8339941433;12113.5819934137;12113.5819934137;12113.5819934137;11727.7067496525;11727.7067496525;11612.5629882848;11514.4783271851;7765.33726023131;6401.13130778463
9109;8477.47265364768;8708.67012188712;8631.61581084423;8196.24819040373;8214.03102181266;7428.55649313273;6718.59027022363;8331.28129110803;8192.50452179385;9493.52597685941;10915.7321389777;10836.9650371828;10547.0717711505;10731.3462644251;11197.9364709524;11644.6706907192;11644.6706907192;11644.6706907192;11452.0208635347;11452.0208635347;11452.0208635347;11352.094340154;9985.51469194257;7089.65915661676
9110;5495.54050407938;4977.04286662972;5468.1310139895;7135.34584666413;6209.8377207251;6474.92476965438;6167.30974595656;5362.14075688512;5456.62886478725;6351.43596794085;7833.57637717242;7855.91664781275;7797.81116609906;7619.83721903504;7489.98568816496;7613.16787580407;7613.16787580407;7613.16787580407;7613.16787580407;7613.16787580407;7613.16787580407;7012.04097073595;6145.97516253999;5736.80937497233
9111;11562.8959769365;11019.4497885946;11501.2358401612;12314.7802711135;11167.9937802362;11181.6324992785;10684.7613200241;11479.253762989;11509.9133782534;9089.947586112;11156.5902449616;12480.2481167323;12591.7798269907;11851.3873059677;11738.3902746156;11738.3902746156;11738.3902746156;11738.3902746156;11738.3902746156;11738.3902746156;11738.3902746156;11569.980002341;8862.131615345;10434.1629193673
9112;6556.42737024484;6559.29668898922;7354.61859708791;5655.41131583168;6306.50065485007;8364.05720694847;7814.59909718874;6955.58020451198;6454.21239579859;8151.17145210457;8832.02351033897;8413.00878286209;9993.67730979671;9945.91374791728;9436.58242535746;8929.9313769897;8929.9313769897;9123.12031603448;8919.41589841161;8919.41589841161;8715.71148078873;7918.95286151616;6669.46188173852;6769.38545722832
9113;27781.1567150327;26194.552444281;23934.9807369412;22233.281818154;23435.4224735641;24297.3747059812;24260.7325405537;24527.7330984669;21765.1568229732;17854.6630162019;18358.8453747921;18058.1166450732;19023.7240440413;20384.2411367275;20905.6103941741;21168.1479429257;21168.1479429257;21309.8724960474;20816.9745087629;20816.9745087629;20816.9745087629;20218.9711327651;21311.4761704754;21819.0469317182
9114;10155.7833020046;10107.0143889072;10831.0583932223;11544.1966293586;10755.761589451;11583.5834147708;10494.5204209181;10671.3762790587;9171.59408536239;11503.8382753149;12242.8242766513;13688.8545178988;13642.6129190596;14022.9814803932;13975.5115849978;13712.9740362462;13897.9676063027;13897.9676063027;13572.6136390042;13572.6136390042;13572.6136390042;12865.7910635128;10775.9594838227;10983.3780678178
9201;18674.1243518531;19856.6034200074;18833.5847578013;17563.4995209262;17265.7740278296;18187.1888173368;17747.611132834;19620.0850383915;17067.0770438016;18187.1145696277;22043.835949764;21303.8861915118;24925.0916270159;24913.7681291012;25330.3219941658;25667.2322846582;25667.2322846582;25667.2322846582;25317.6010081426;25317.6010081426;25584.482613129;26135.3114198666;22100.214397244;16153.7395624795
9202;15777.1267587149;15269.5392812567;15596.2337861355;14912.0973822272;16475.9141956872;16175.5421763885;15685.6265542316;14484.1660929582;16667.9551433737;16603.7140027326;16888.6037184207;17608.2323933252;17833.8568776595;18230.8369703215;18496.0975340387;18496.0975340387;18496.0975340387;18496.0975340387;18084.6944468717;18415.2950661283;18084.6944468717;18359.2485040733;16416.2476773821;14769.3113792675
9203;54936.9228883387;52382.8638449532;54550.7484150184;54240.3122964112;51215.1289093311;55317.5873357509;53449.3203835016;54440.5875314819;52085.7685506611;47003.4285737168;43462.8428271825;44752.0291173067;48365.7487701216;47439.2562112714;48847.9478025129;50122.6915110237;50122.6915110237;50667.8015256014;49865.9656309819;49865.9656309819;49865.9656309819;49625.9405655722;48126.6979448383;45813.9663249931
9204;33870.203526365;34752.9567968858;33130.6196282503;32945.2575971751;33808.4780432681;33131.0449689042;33846.8773443693;31948.3222398897;26800.7077944077;17498.9845041993;15963.9133971249;16655.2765806956;15535.5929033091;16527.3823647831;17414.0936913029;17414.0936913029;17044.7300913171;17235.0225976694;16294.1617943557;16294.1617943557;16294.1617943557;16758.2875402943;16553.5579270992;24071.902882155
9205;78272.4818474748;84404.1603720132;83580.2932054782;85978.1332782968;85361.991639835;86054.6149670769;87131.1901789753;84737.4173499052;76872.9894629427;57140.3066598914;44120.2337212538;42092.8360566663;39956.9982275931;38440.1059949126;39706.3358994663;39806.7681997572;41960.0308804295;42419.2794526156;41726.1515140386;41726.1515140386;41490.9495953063;41141.7038524748;37549.9673161275;54172.1881961697
9206;33147.2502159977;35318.7407282095;34005.1608706326;36665.8655823566;37121.5489073486;35897.0500462469;36048.4683653965;37804.7610951819;32922.8428531429;31097.697505405;37631.8109460693;34420.843952404;35599.3565524489;37012.1963221067;38602.9679246239;38948.0795206683;38948.0795206683;38948.0795206683;38677.1566786335;38677.1566786335;38677.1566786335;38304.7759010603;34956.1956336413;31765.3801326101
9207;29768.342351193;28915.8869950244;30972.5157700437;29459.6889611782;29405.4125271225;25217.6404683992;25173.7635494106;25184.6562881564;26908.9228045499;27963.5568332313;34169.2426720072;42283.8700861953;42260.9001380112;44063.0468795056;42995.1116019942;43633.7122646483;41610.7682515059;41205.6726609706;41561.8598650055;41561.8598650055;41705.8079969535;39808.7055238676;35677.6417670976;26248.4820816869
9208;32293.3620307017;32766.2226322764;32752.8316717756;31522.959536033;30676.1470625782;31400.4628731414;29463.5733880444;30587.5923005399;29213.7207109989;33254.9388905819;31223.70829369;34863.7244742151;35868.4517111954;37695.8049370849;38045.5798884303;36481.4003455312;37122.11236356;37122.11236356;36485.2632995163;36485.2632995163;36485.2632995163;36739.2468450141;33531.7431860001;28920.7389307841
9209;40628.2419147425;41762.3094517508;42241.2505035581;43001.7202311779;44808.6777879901;43651.57269766;41187.8280704668;41892.15435629;44299.2903428594;43597.040791477;40595.78394692;41012.3784227699;41890.4131658625;42666.2617633514;43688.3251204355;43921.4952673016;44630.8078563135;44317.5798700733;43817.194191911;43038.2495717538;43038.2495717538;42401.701839265;38250.2127793873;36574.5720778736
9210;40315.2597164431;38392.7315598969;39817.222302476;39464.4958225231;40264.1238891554;36193.7953278789;35151.3859201229;34516.247094135;34271.0302610439;37563.7712038625;42652.1900762275;48480.1528764849;48586.4411387487;47696.8911885299;48678.0037249137;48425.746637647;48425.746637647;48232.5576986023;48232.5576986023;48232.5576986023;48232.5576986023;48170.807139027;45334.7570711313;32714.9086437722
